customer_sk,customer_nk,email,customer_lifetime_value,valid_from,valid_to,is_current
9244574674031748102,9c82b24c-2877-42c2-a6a2-70f3885e1d31,wcabrera@example.net,10986.08,2018-01-01T00:00:00,2024-06-30T23:59:59,False
3487886234709579803,9c82b24c-2877-42c2-a6a2-70f3885e1d31,updated_wcabrera@example.net,10986.08,2024-07-01T00:00:00,,True
9879735446713885286,d2ed2bc8-85c4-4079-a0d8-0e740830fc38,jeffreymorgan@example.net,7890.79,2018-01-01T00:00:00,,True
9599383828596770070,3200b5b0-7162-4924-a708-b8a910e983f6,ilewis@example.net,2414.99,2018-01-01T00:00:00,,True
13578254458319508775,31fb3809-0ded-4a28-ae6a-932fcccff107,nuneztracey@example.org,1577.09,2018-01-01T00:00:00,,True
10856213663032871399,b861e15e-937c-4ae1-aeac-152b1c4a8dc1,ramosmichelle@example.net,7448.46,2018-01-01T00:00:00,,True
6266732562705113200,42375316-9a84-4841-a3f8-c166584c8bc6,gallowayjoseph@example.com,1225.61,2018-01-01T00:00:00,,True
2905706615813966013,28f70b22-694f-4ea6-a824-46cd5acf2e4f,brianromero@example.org,2603.69,2018-01-01T00:00:00,,True
1232516160825967651,deeb09d8-37fe-4c37-a288-65478de9a882,sarah35@example.org,7943.86,2018-01-01T00:00:00,,True
6332797097132073105,cd568a51-3a46-468b-a329-ff19e778f501,suarezmike@example.org,2936.99,2018-01-01T00:00:00,,True
8182814147756535668,dd9e1dca-0f78-4305-a9b4-355ec562efa1,james48@example.com,4356.81,2018-01-01T00:00:00,,True
3648768365220377127,ecc0040a-de88-4b82-abf7-5a95cdee432f,amydavenport@example.net,5387.19,2018-01-01T00:00:00,,True
929168713003876604,dc8bca1d-d1a1-44f7-a733-716081fe0eb1,vdickson@example.org,16427.03,2018-01-01T00:00:00,,True
16394414789736012881,9a498078-f9fe-4ee6-a6ca-fecd1b446456,dwalker@example.com,4549.03,2018-01-01T00:00:00,,True
6921773394212205792,a3aaff48-bcda-4184-af71-1957181742c7,benjamin96@example.com,9986.3,2018-01-01T00:00:00,,True
15409000985348395489,142aa2cc-a993-43e5-a52e-750e5fe63b02,cindy14@example.net,3767.52,2018-01-01T00:00:00,,True
8567597225279587150,88f257c4-291c-47b5-af86-c291b568b0cf,russellcarpenter@example.net,7412.83,2018-01-01T00:00:00,,True
13508752807353566057,96d79886-a59b-48fa-afe3-c3144ebecfcc,sanchezthomas@example.org,8859.03,2018-01-01T00:00:00,,True
15973741923856660839,b14f5282-cf3f-458c-a10b-8207c636c1c3,bryantlaurie@example.net,5461.64,2018-01-01T00:00:00,,True
17639160232696939391,df849b97-440b-48c3-ad10-8b91f8cc5515,sjones@example.org,4356.22,2018-01-01T00:00:00,,True
11121683982186872964,9deb8d8d-6ac0-4ee7-ab9b-8dd5211ed802,marissaprice@example.net,6813.63,2018-01-01T00:00:00,,True
6147116652493189250,39b96335-a1f2-4d06-a53d-c53a68e0bb99,rrogers@example.com,1057.79,2018-01-01T00:00:00,2024-06-30T23:59:59,False
17733543692529026887,39b96335-a1f2-4d06-a53d-c53a68e0bb99,updated_rrogers@example.com,1057.79,2024-07-01T00:00:00,,True
8818931395701863016,39206b9a-0b6f-4705-a0b6-d22c4efa149d,shawnrogers@example.com,4258.39,2018-01-01T00:00:00,,True
11422995361579743588,e0d43681-e1ee-4f6f-a2ba-0d216cb5fffa,davidcaldwell@example.net,4324.01,2018-01-01T00:00:00,,True
11727997185412714792,6b4b982c-ae98-4ae3-a9f7-9cc8ec247aa7,tsanders@example.org,7918.6,2018-01-01T00:00:00,,True
12815140842567195685,53f5ceef-a1e7-4d05-abf3-f4676e84ccb6,atkinsonlynn@example.org,1717.25,2018-01-01T00:00:00,,True
8486282170326152769,663649ed-5b9b-43aa-a4d3-ed69c07b0025,dsanchez@example.net,4957.41,2018-01-01T00:00:00,,True
17127037959738925724,45132b4e-f2f7-4240-ab72-3899fb3d0237,allenrichard@example.net,3094.07,2018-01-01T00:00:00,,True
1406401059029599408,82f1f9e6-f4be-4a71-af9e-807866d981c2,jacqueline44@example.com,4779.75,2018-01-01T00:00:00,,True
16004926081234092175,177e363f-807b-41eb-a47a-5e92c213c7f1,kennethward@example.com,3967.33,2018-01-01T00:00:00,,True
